country,year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density_(P/Km2),Land Area(Km2),Latitude,Longitude,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy;;;;;;;;;;;;,cluster
Australia,2000.0,100.0,100.0,,8.42,181.05,0.0,17.11,8.634437,68632.96,6.16,339450.0,3.9888778,3.912427733,21697.70848,3.0,7741220.0,-25.274398,133.775136,AUS,19017968.0,692059308032.0,,0.0,0.0,0.0,46.798,0.89,0.41,0.0,805.977,0.718,4.219,31110.68,591.662,9478.404,180.26,3.359,64.902,104996.484,1996.82,83.134,45.329,216.83,11401.323,216.83,17.063,0.61,7.912,68632.961,1.886,0.631,7.857,10479.037,199.29,65895.281,1253.194,91.911,96.011,1.889,3.81,205.551,881.272,16.76,10808.241,1.562,4.798,16401.504,311.923,7.73,15.748,174.76,1.136,0.547,48.691,866.023,16.47,2560.277,7.596,3.73,0.218,0.055,52.065,922.286,17.54,2737.685,8.089,3.989,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038,-0.172,455.982,119.361,2.27,23976.355,35.017,111.879,22682.576,431.377,1.047,34.934,2.839,0.89,,-21.526,-0.779,46.772,,149.304,0.41,,0.218,11401.323,1305.259,0.218,0.055,52.065,922.286,17.54,2737.685,8.089,3.989,15.148,0.018,0.138,2.629,0.05,7.269,0.023,0.011,211.628,0.269,0.396,6.836,0.13,20.835,0.06,0.03;;;;;;;;;;;;,developed
Australia,2001.0,100.0,100.0,,8.37,194.33,0.0,17.4,8.218014,68338.28,5.91,345640.0,3.870762,2.038300732,19527.32358,3.0,7741220.0,-25.274398,133.775136,AUS,19248146.0,713890070528.0,,0.0,0.0,0.0,41.562,0.8,0.357,0.0,803.13,-1.009,-5.971,30428.455,585.691,9345.315,179.88,8.068,161.101,112110.586,2157.921,80.21,44.526,224.26,11650.992,224.26,17.497,0.776,10.126,68338.281,1.843,0.9,11.275,10754.282,207.0,65693.062,1264.47,92.304,96.129,7.853,16.142,221.693,1272.85,24.5,11517.638,4.645,14.49,16958.162,326.413,10.925,16.854,180.11,-2.083,-1.324,47.367,837.483,16.12,2460.882,7.188,3.601,-1.566,-1.15,50.915,896.71,17.26,2645.212,7.696,3.871,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.242,1.104,457.085,136.117,2.62,23746.979,-7.471,-32.229,20736.932,399.147,1.168,34.749,2.546,0.798,,-10.343,-0.294,41.433,,132.261,0.356,,0.194,11650.992,1315.385,-1.566,-1.15,50.915,896.71,17.26,2645.212,7.696,3.871,15.829,0.021,0.159,2.598,0.05,8.265,0.022,0.012,114.179,0.447,0.843,15.066,0.29,43.804,0.129,0.064;;;;;;;;;;;;,developed
Australia,2002.0,100.0,100.0,,8.74,197.29,0.0,17.35,8.0833025,68892.78,5.89,353369.9951,3.9314504,4.014526654,20117.78889,3.0,7741220.0,-25.274398,133.775136,AUS,19475842.0,747065704448.0,,0.0,0.0,0.0,65.209,1.27,0.568,0.0,794.666,2.25,13.181,30749.482,598.872,8824.266,171.86,3.064,66.125,114195.133,2224.046,76.898,44.634,223.49,11475.242,223.49,17.1,2.004,26.36,68892.781,1.796,1.94,24.525,10553.587,205.54,66184.305,1288.995,91.968,96.069,2.912,6.455,228.148,1568.61,30.55,11714.418,1.102,3.598,16944.664,330.012,13.67,17.004,177.6,-0.177,-0.389,46.979,826.152,16.09,2412.149,7.199,3.501,4.006,1.835,52.75,921.655,17.95,2708.486,8.032,3.931,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,4.889,461.975,160.712,3.13,23720.402,-0.621,-2.48,20367.172,396.668,1.401,34.431,4.044,1.267,,58.846,1.498,65.045,,207.636,0.567,,0.301,11475.242,1341.745,4.006,1.835,52.75,921.655,17.95,2708.486,8.032,3.931,7.664,0.011,0.17,3.081,0.06,8.737,0.027,0.013,85.906,0.714,1.557,27.213,0.53,79.963,0.237,0.116;;;;;;;;;;;;,developed
Australia,2003.0,100.0,100.0,,7.15,195.13,0.0,18.5,8.659832,69082.79,5.78,352579.9866,4.014969,3.110325109,23492.40517,3.0,7741220.0,-25.274398,133.775136,AUS,19699004.0,774451036160.0,,0.0,0.0,0.0,85.791,1.69,0.748,0.0,792.167,2.864,17.149,31271.697,616.021,8813.137,173.61,3.372,75.001,116708.828,2299.048,76.836,45.267,225.95,11470.123,225.95,17.054,1.425,19.117,69082.789,1.757,1.337,17.229,10522.866,207.29,66309.148,1306.224,91.742,95.985,0.787,1.795,229.943,1530.534,30.15,11672.818,2.255,7.441,17130.422,337.452,13.344,16.897,178.99,0.718,0.034,47.013,822.884,16.21,2386.547,7.174,3.455,3.988,1.888,54.638,947.256,18.66,2773.653,8.258,4.015,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.371,-1.715,460.26,179.197,3.53,23364.629,-13.441,-53.317,17429.84,343.35,1.562,33.821,5.4,1.692,,33.549,1.357,85.883,,274.149,0.749,,0.397,11470.123,1360.862,3.988,1.888,54.638,947.256,18.66,2773.653,8.258,4.015,8.405,0.013,0.183,3.046,0.06,9.304,0.027,0.013,31.956,0.484,2.042,35.535,0.7,103.652,0.31,0.15;;;;;;;;;;;;,developed
Australia,2004.0,100.0,100.0,,6.68,203.66,0.0,19.41,8.701304,70486.32,5.65,365809.9976,4.0365605,4.205446887,30513.94174,3.0,7741220.0,-25.274398,133.775136,AUS,19925060.0,809792438272.0,,0.0,0.0,0.0,141.53,2.82,1.23,0.0,792.828,4.204,25.9,32216.773,641.921,8981.654,178.96,3.905,89.783,119890.773,2388.831,78.07,45.706,229.23,11504.607,229.23,16.767,3.203,43.582,70486.32,1.734,3.179,41.529,10531.964,209.85,67641.094,1347.753,91.546,95.963,1.998,4.593,234.536,1373.145,27.36,11770.906,6.475,21.851,18032.725,359.303,11.936,16.7,181.74,-3.232,-1.809,45.203,787.451,15.69,2268.674,6.845,3.219,3.751,2.053,56.691,972.644,19.38,2845.223,8.454,4.037,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.398,11.036,471.296,177.164,3.53,23653.416,-12.667,-43.491,15049.351,299.859,1.54,33.557,8.987,2.815,,66.406,3.586,141.292,,451.022,1.228,,0.64,11504.607,1404.444,3.751,2.053,56.691,972.644,19.38,2845.223,8.454,4.037,15.427,0.027,0.21,3.513,0.07,10.55,0.031,0.015,12.918,0.249,2.291,40.15,0.8,114.976,0.349,0.163;;;;;;;;;;;;,developed
Australia,2005.0,100.0,100.0,,6.71,195.95,0.0,19.75,9.156236,69917.164,5.52,370089.9963,4.3135533,3.160338325,34080.9999,3.0,7741220.0,-25.274398,133.775136,AUS,20171732.0,840092352512.0,,0.234,11.616,0.234,191.853,3.87,1.677,0.017,791.8,-0.576,-3.699,31639.439,638.222,9071.11,182.98,4.708,112.458,123999.695,2501.289,79.301,45.253,230.74,11438.78,230.74,16.837,0.421,5.906,69917.164,1.679,0.131,1.761,10411.601,210.02,66901.25,1349.514,91.02,95.686,-0.83,-1.946,232.59,1153.099,23.26,11530.483,6.415,23.05,18954.881,382.353,10.081,16.492,182.7,-1.409,-0.919,44.285,766.915,15.47,2195.384,6.705,3.14,8.179,4.145,60.836,1027.18,20.72,3015.914,8.98,4.314,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.571,7.406,478.702,187.391,3.78,23731.322,-1.768,-5.303,14602.427,294.556,1.638,33.942,12.357,3.871,,37.501,3.37,191.902,,612.58,1.678,,0.876,11438.78,1410.35,8.179,4.145,60.836,1027.18,20.72,3015.914,8.98,4.314,15.216,0.03,0.241,3.966,0.08,11.931,0.035,0.017,63.403,1.429,3.72,64.447,1.3,184.402,0.563,0.264;;;;;;;;;;;;,developed
Australia,2006.0,100.0,100.0,,6.85,198.72,0.0,21.19,9.63576,71863.76,5.58,375489.9902,4.233413,2.726893446,36117.48798,3.0,7741220.0,-25.274398,133.775136,AUS,20467032.0,866678669312.0,224.006,0.525,37.094,0.759,192.016,3.93,1.651,0.052,790.495,2.707,17.277,32027.059,655.499,9076.059,185.76,2.221,55.552,124924.836,2556.841,78.054,44.566,237.99,11627.969,237.99,16.637,4.289,60.488,71863.758,1.697,4.376,59.057,10595.088,216.85,68821.477,1408.571,91.117,95.767,11.54,26.841,259.431,1333.364,27.29,12675.536,6.4,24.469,19876.955,406.822,11.467,17.638,188.13,-3.366,-1.76,42.525,730.443,14.95,2077.725,6.282,2.891,4.497,1.43,62.267,1032.88,21.14,3042.29,8.883,4.233,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.121,14.94,493.642,185.664,3.8,24118.875,-8.691,-25.599,13140.994,268.957,1.597,33.562,12.553,3.932,,1.589,0.196,192.138,,613.333,1.652,,0.853,11627.969,1470.838,4.497,1.43,62.267,1032.88,21.14,3042.29,8.883,4.233,16.002,0.037,0.277,4.886,0.1,13.555,0.042,0.019,66.437,2.432,6.152,105.536,2.16,300.583,0.908,0.418;;;;;;;;;;;;,developed
Australia,2007.0,100.0,100.0,,6.95,208.59,0.0,20.93,9.119031,72304.695,5.52,385750.0,3.9767227,3.768487516,41001.14298,3.0,7741220.0,-25.274398,133.775136,AUS,20830832.0,911250751488.0,27.222,0.207,46.367,0.966,205.465,4.28,1.76,0.064,791.151,-0.869,-5.696,31194.266,649.802,8904.589,185.49,3.286,84.015,126776.273,2640.855,76.274,43.143,243.19,11674.521,243.19,16.571,2.402,35.329,72304.695,1.653,2.676,37.7,10700.484,222.9,69429.336,1446.271,91.657,96.023,11.86,30.768,290.198,1603.393,33.4,13931.184,5.086,20.69,20523.033,427.512,13.734,19.267,192.4,-12.687,-5.627,36.897,626.475,13.05,1771.292,5.366,2.45,-2.926,-2.371,59.896,974.037,20.29,2875.358,8.343,3.977,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.558,12.629,506.27,192.503,4.01,24303.893,6.503,17.489,13751.064,286.446,1.649,33.613,13.646,4.275,,8.709,1.093,205.225,,655.107,1.758,,0.906,11674.521,1506.167,-2.926,-2.371,59.896,974.037,20.29,2875.358,8.343,3.977,16.667,0.044,0.322,5.281,0.11,15.441,0.045,0.021,31.913,1.913,8.065,136.816,2.85,387.15,1.172,0.535;;;;;;;;;;;;,developed
Australia,2008.0,100.0,100.0,,6.79,211.06,0.0,18.49,8.05489,72089.34,5.53,388940.0024,3.6813264,3.577014878,49654.9106,3.0,7741220.0,-25.274398,133.775136,AUS,21247876.0,937889628160.0,32.442,0.313,60.205,1.279,174.135,3.7,1.508,0.084,791.507,4.23,27.489,31875.723,677.291,8670.985,184.24,3.02,79.766,128042.039,2720.621,75.084,44.217,245.38,11548.448,245.38,16.405,1.698,25.578,72089.344,1.633,2.011,29.086,10648.594,226.26,69435.5,1475.357,92.208,96.319,-1.671,-4.849,285.35,1708.877,36.31,13429.558,-2.499,-10.683,19617.443,416.829,14.797,18.629,194.22,-9.455,-3.696,33.201,556.291,11.82,1562.568,4.817,2.168,-4.081,-3.508,56.389,899.855,19.12,2653.844,7.792,3.681,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.273,6.446,512.716,268.733,5.71,24130.219,-0.258,-0.739,13446.369,285.707,2.327,33.473,11.798,3.696,,-13.542,-1.848,173.952,,555.277,1.506,,0.77,11548.448,1531.745,-4.081,-3.508,56.389,899.855,19.12,2653.844,7.792,3.681,22.374,0.07,0.391,6.589,0.14,18.409,0.057,0.026,21.26,1.654,9.718,162.84,3.46,457.384,1.41,0.634;;;;;;;;;;;;,developed
Australia,2009.0,100.0,100.0,,7.15,216.42,0.0,18.32,7.804379,69689.84,5.43,395290.0085,3.9202662,1.86683207,42783.32257,3.0,7741220.0,-25.274398,133.775136,AUS,21660898.0,963129966592.0,38.588,0.494,81.846,1.773,128.804,2.79,1.116,0.117,785.114,-3.312,-22.43,30232.416,654.861,8403.16,182.02,3.757,102.212,130319.328,2822.834,72.837,43.381,249.9,11536.917,249.9,16.973,-1.449,-22.201,69689.844,1.567,-1.694,-24.99,10606.209,229.74,66957.82,1450.366,91.933,96.08,2.108,6.015,291.364,1898.351,41.12,13451.167,12.031,50.147,21558.475,466.976,16.455,19.301,196.2,6.999,2.104,35.306,583.54,12.64,1629.923,5.058,2.339,7.561,2.79,59.178,930.709,20.16,2732.027,8.067,3.92,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.672,-8.575,504.141,304.697,6.6,23274.232,-1.847,-5.278,12946.323,280.429,2.641,33.397,8.896,2.787,,-24.602,-2.903,128.656,,410.684,1.115,,0.589,11536.917,1509.545,7.561,2.79,59.178,930.709,20.16,2732.027,8.067,3.92,108.507,0.419,0.811,13.388,0.29,37.421,0.116,0.054,28.316,2.675,12.393,204.978,4.44,572.153,1.777,0.821;;;;;;;;;;;;,developed
