,Value_co2_emissions_kt_by_country_trend,Value_co2_emissions_kt_by_country_mean_change,Value_co2_emissions_kt_by_country_change_stability,Value_co2_emissions_kt_by_country_acceleration,Value_co2_emissions_kt_by_country_total_change,Value_co2_emissions_kt_by_country_volatility,Primary energy consumption per capita (kWh/person)_trend,Primary energy consumption per capita (kWh/person)_mean_change,Primary energy consumption per capita (kWh/person)_change_stability,Primary energy consumption per capita (kWh/person)_acceleration,Primary energy consumption per capita (kWh/person)_total_change,Primary energy consumption per capita (kWh/person)_volatility,fossil_share_energy_trend,fossil_share_energy_mean_change,fossil_share_energy_change_stability,fossil_share_energy_acceleration,fossil_share_energy_total_change,fossil_share_energy_volatility,Renewable energy share in the total final energy consumption (%)_trend,Renewable energy share in the total final energy consumption (%)_mean_change,Renewable energy share in the total final energy consumption (%)_change_stability,Renewable energy share in the total final energy consumption (%)_acceleration,Renewable energy share in the total final energy consumption (%)_total_change,Renewable energy share in the total final energy consumption (%)_volatility,energy_per_gdp_trend,energy_per_gdp_mean_change,energy_per_gdp_change_stability,energy_per_gdp_acceleration,energy_per_gdp_total_change,energy_per_gdp_volatility,gdp_per_capita_trend,gdp_per_capita_mean_change,gdp_per_capita_change_stability,gdp_per_capita_acceleration,gdp_per_capita_total_change,gdp_per_capita_volatility,gdp_growth_trend,gdp_growth_mean_change,gdp_growth_change_stability,gdp_growth_acceleration,gdp_growth_total_change,gdp_growth_volatility,Cluster
Chile,-0.12415315096823722,0.534907112323917,0.36409169600272695,0.9421156084233719,0.378674728751455,0.2883380101333969,-0.05986127678414028,-0.13536268741950128,0.1782512063283181,-0.10015568249618936,-0.17129721409184318,-0.5513522035488236,-0.0915141588110079,-0.9002169282940001,0.2903857348750822,0.7925151923183714,-0.9289641138446788,0.5494857123343824,-0.3718465022537318,-0.3892176162093412,-3.0389773728622966,-0.36756729679596767,-0.4508929493633264,-0.37027314743988277,0.5063885204110125,0.4930421775047984,0.3022889636129538,-0.19134703519690605,0.48936227755689254,-0.8623140124227487,-0.5303351610891746,-0.1768419129623134,0.09497168979091852,1.0393977264527412,-0.36163255445352255,0.2686023687615247,-0.023207784671566402,-0.07682975557492462,0.32097346894545836,-0.0751075066414067,0.037316052856112926,-0.5691719991245513,4
China,8.196242259438117,3.03990262372278,0.4214498982997993,1.148010558956864,3.674318461250019,0.29286286812249185,0.6676562701066626,3.4016057671479905,0.19975351002352743,0.44760205945759224,4.3661035675373405,0.2710603820195892,-0.2150262325446268,-0.2780854868209932,0.42996271118423063,0.9026467783787191,-0.17320046389577942,-0.4674668527060988,-4.187277495421031,-1.364590431084537,0.6022214673595676,-0.39324634597970554,-1.2422884784795833,-0.31266444163884344,1.2823545040113309,1.7055038911575702,0.06838814102233073,-0.32913504463841237,2.1651700018888924,0.01278755123623011,-0.8403767510701069,1.2855426013702025,0.30418643219823566,0.7606760825253681,1.312862086410795,-0.5583768977043089,1.1694136834297293,0.0625708565393895,0.11644666442410172,0.12419904911501464,0.9981928868062275,-0.7142159206037065,0
Colombia,-0.15406665758188545,-0.3451950586500684,0.3010177981780815,1.273132187158506,-0.389896333284116,-1.048189839420104,-0.10483195436026252,0.2604148150839007,0.18660816468586325,0.4159638765335674,0.17646726534257348,0.08696394656609767,-0.4045615332950421,0.07016290684092381,-1.3964487478871368,1.8996865414966058,0.14928811831762429,0.24072815456432275,0.42839960332565774,-0.26946192352737236,0.26495071256532887,-0.04006140718616366,-0.31139914130264473,-0.3612961215519104,0.6013302407574048,0.6212238892505316,-0.35089970710134005,-0.31588565783257944,0.6225539992247391,-0.06142911919179026,-0.8074332574073588,-0.1467421256262933,0.1251404880517078,0.5820755025568735,-0.3204468508960398,0.08375306479421905,0.8305932150301709,0.056332429551428205,-1.932004365973692,0.0829048146835261,0.5060607667208527,-0.6126027318454669,4
Croatia,-0.15461337808965456,-0.0707788780949403,0.2857054688706163,-0.8088427175194396,-0.1842664277110775,0.08596951395769854,-0.00961504390797019,0.2599912800991444,0.19374598917941802,-0.2566781036584904,0.20679049452847179,-0.5892688319770174,1.4482997179399484,0.4643556072697605,-1.876447474193905,-0.9358671336502455,0.39716218512259344,1.2932312165674635,-0.45917470599563304,-0.35388331062588585,-1.5357064474008773,0.27446116024179745,-0.43723860414061555,-0.21053592014542225,0.0918054776517361,0.049698032751006864,0.1716158046881458,-0.0029146103074836104,-0.06139932343782312,0.16116124492725867,-0.22666782132627786,0.6670759393546438,0.24169893935475645,-0.7531208369503734,0.4712648932070834,-0.16174638050242107,-0.7376955904011862,-0.35540233486073997,0.3646801435655541,-0.7976308130266543,-1.4864450845712947,-0.228198745339005,4
Cyprus,-0.15692884954510325,0.03569269357066496,0.3539811032617778,0.8463057513324901,-0.06839091747929595,-0.5364654532153144,-0.14754706574697657,-0.4035694572017539,-0.29408025992221587,0.1898021326586676,-0.430659831601244,-0.0479711427293801,0.0,0.2220698813596159,0.6454008626027335,0.4246599894481716,0.0,-0.8444489181417045,0.4626768317014682,0.6032223012536609,0.5252730029392755,0.5419892179454363,1.044400664291378,-0.08681503004248083,0.33860358359195986,0.16290741650457427,0.10618666242511463,0.2067653160330615,0.06411396997055703,0.1768999736681943,0.4699178132772901,-0.017165958009301773,0.19994673965003096,-0.1268456051693516,-0.17587451918244862,-0.3568015235906575,-0.2020437994775066,-0.09267666251710774,0.3374608667543186,-0.10380431881734084,0.007005777245804163,-0.5565399384263682,4
Czechia,-0.17126935112697395,-1.009401238126982,0.31136364424827484,0.16063097604688234,-0.9138480683064242,-0.6577302650987724,-0.05767732866309768,-0.2756326142510989,0.14580516899016854,-0.211992629823412,-0.29837547316243185,-0.5400924464560877,-2.7387483225530413,-2.66049315908281,0.5828813852557142,-0.0657509339333519,-2.661751829488202,-0.2139488618047515,0.6315194336656984,0.3402316881228341,0.5444006227598125,0.0744186164307996,0.5812965663646439,-0.23856880245039697,-0.40903098478563,-0.41462829895578923,0.39705602864242956,0.17153655319897448,-0.5298289654663926,-0.2668056606688441,-1.417838484790765e-16,-1.809674366913606,0.41365262489200383,0.7114296309841126,-2.400147744263049e-16,-2.101906501479084,0.0,0.045423722501924765,0.6155296729842986,0.1256959622636028,1.9497647063773718e-16,-0.7594305946512573,5
Denmark,-0.16712321418829842,-0.866880508679975,-0.11786805414540115,-0.08599199925476829,-0.8856034703997592,1.5072125649819863,-0.5280115634791863,-0.918885527576725,0.17939143309284397,-0.077231445674523,-0.8780298429306279,0.390485700931153,-2.4134510723878564,-1.8613062004019327,0.5558946700826012,0.24176009755536207,-1.8523617334001998,-0.19205198849277383,1.8550832536389097,0.39669390284770917,0.5579944732465449,-0.321372491132792,0.690083867909246,-0.24791075120322043,0.4626322235670199,0.34221221125210083,-0.064026823845995,-0.13074111395845037,0.2665006103015604,0.254225890675897,1.3965049697593743,-0.3979732388965882,0.17584346522688205,0.057037482830786114,-0.46276747003620783,-0.5725271349495112,-0.36905200999179943,1.021597976881701,0.39928379884799814,1.8939915216602943,-0.6595774829113166,0.3558651395411523,5
Ecuador,-0.13904608531979384,1.3081250345731492,0.41256478576590383,0.7665431077455114,1.249664862424555,-0.3714924664567812,-0.08567342273170739,0.28839002197047886,0.19227958304866305,0.16448314374860853,0.22740559362840376,-0.40647448053785284,0.7443371930428363,1.3488174435216422,0.2662659895407851,1.2131839651166896,1.5062004761629106,0.6501065749212422,-1.2055219895706581,-0.8816075339854778,0.42177211948909027,-0.5520525149643426,-0.9425634955584112,-0.17342132743874816,0.5728099494331906,0.47597513459756446,0.1920577888561053,-0.09367691729497607,0.4624529932809999,-0.6179362293213579,-0.8464592388998484,0.5717942590820191,0.2679833973693584,-1.4354699409233784,0.41211448745621637,-0.5215446318225773,0.5884686584625204,0.42185318201341465,0.40271584074167666,-0.5520915501000586,0.5947056240229164,-0.3361792717096076,0
Egypt,0.0,-0.6062136365819562,0.4476558972948523,0.9140754115187804,0.0,-1.9443820907786613,-0.06084208087059538,0.7206594373702028,0.19974916285551042,0.5222978319911181,0.6937913125921961,-0.9473763953315378,1.252729551964279,1.0646701252327484,0.5854889075926066,0.5754887620398217,1.3081153188572587,-0.6678340957383397,-0.7109851575620836,-0.8124821116230153,0.4950048707865708,-0.3042422063727697,-0.8681658316866531,-0.30658398832380035,0.42523475547301615,0.17588772730525137,0.4459280021148771,-0.17002396095758526,0.11538826389370159,-0.9307916043664737,-1.417838484790765e-16,-1.809674366913606,0.41365262489200383,0.7114296309841126,-2.400147744263049e-16,-2.101906501479084,0.0,0.045423722501924765,0.6155296729842986,0.1256959622636028,1.9497647063773718e-16,-0.7594305946512573,0
Estonia,-0.1552515371230469,-0.31870712883055397,-0.2915148287033406,-1.9151239582711084,-0.5669960316777187,3.0315600083190937,0.4597988639103869,0.23150165878569345,0.17404554056050076,-1.5900831740008239,0.05641334683122919,1.1538672749991299,-0.4806278569180622,-0.5312670925003622,0.5247907322718751,-0.2933464778565124,-0.44265547528297255,-0.526567361465325,0.24587033420077062,-0.11228028521264415,0.2542239044691133,0.8843193262608291,-0.1478695780790653,-0.17131482185553004,0.32601184349296847,0.6726759461129773,-0.9211862058320056,0.46458706209972195,0.6571772175857823,0.4691315282158459,-0.034196937254691626,1.2127525004055917,0.2126040144765589,-1.3251488268022162,0.991633319420431,0.6663143147737651,-2.94219192057439,0.055426132493579576,-4.844071957997688,0.5516470174972529,-0.7560915261590275,-0.470907327857823,6
