country,fossil_fuel_consumption,gdp,coal_consumption,oil_consumption,electricity_generation,gas_consumption,Land_Area(Km2),population,renewables_consumption,Cluster_2,Cluster_3,Cluster_4
Algeria,477.26271428571425,429180866364.9524,5.098999999999999,178.20695238095237,50.35809523809524,293.95666666666665,2381741.0,36372949.809523806,0.9219047619047619,0,0,0
Argentina,743.2005238095238,716274068918.8572,11.462857142857143,314.49361904761906,122.45857142857143,417.24395238095235,2780400.0,41129783.23809524,102.42466666666667,0,0,0
Australia,1419.0526666666667,988724720591.238,579.8680952380952,526.6516666666666,245.0961904761905,312.5328571428571,7741220.0,22097331.23809524,84.81938095238095,0,0,3
Austria,279.1001428571429,337070219654.0952,39.87104761904762,152.74966666666666,63.99904761904762,86.47933333333333,83871.0,8423233.142857144,132.7117142857143,0,0,0
Azerbaijan,147.91338095238095,116889229507.04762,0.028904761904761905,53.774571428571434,22.34285714285714,94.10990476190476,86600.0,9252382.523809524,5.8883809523809525,0,0,0
Belarus,284.9679523809524,150036525641.14285,9.198857142857142,93.73033333333333,32.37095238095238,182.03904761904764,207600.0,9832238.61904762,0.8190952380952381,0,0,0
Belgium,582.6683333333333,409861512045.7143,50.31699999999999,365.2552380952381,83.14428571428572,167.09604761904762,30528.0,10889759.095238095,27.1862380952381,0,0,0
Brazil,1694.6436190476193,2582687851666.2856,168.44961904761905,1255.2968095238095,492.6880952380953,270.89714285714285,8515770.0,195757020.95238096,1294.0744761904762,0,0,3
Bulgaria,159.16738095238094,102886759667.80952,76.15985714285713,53.415904761904756,44.25904761904762,29.591666666666665,110879.0,7562582.380952381,14.728380952380952,0,0,0
Canada,2508.565857142857,1428121489993.1428,279.6968095238095,1241.725857142857,630.9752380952381,987.1428095238095,9984670.0,34059809.14285714,1104.7526666666668,0,0,3
Chile,302.41114285714286,328523781461.3333,59.788761904761905,180.4967142857143,60.205238095238094,62.12580952380953,756096.0,17096541.61904762,82.69485714285715,0,0,0
China,24864.145523809522,13722435515343.238,18334.84895238095,5180.074428571428,4314.134761904762,1349.222142857143,9596960.0,1348338901.3333333,2586.709857142857,1,1,1
Colombia,302.93290476190475,498950100309.3333,44.370380952380955,169.03547619047617,61.57380952380952,89.52704761904762,1138910.0,44807542.0952381,129.5944761904762,0,0,0
