country,fossil_fuel_consumption,gdp,coal_consumption,oil_consumption,electricity_generation,gas_consumption,Land_Area(Km2),population,renewables_consumption,Cluster_2,Cluster_3,Cluster_4
Croatia,79.782,78133008481.5238,6.752952380952381,45.35414285714286,12.727619047619047,27.67495238095238,56594.0,4341630.523809524,20.449571428571428,0,0,0
Czechia,405.33633333333336,262945360164.57144,212.44652380952382,108.54480952380952,82.86761904761904,84.34509523809524,78871.0,10410672.238095239,20.198428571428572,0,0,0
Denmark,180.9895238095238,242858336646.09525,38.16614285714286,99.8632380952381,35.305238095238096,42.9602380952381,43094.0,5562341.428571428,40.40228571428571,0,0,0
Ecuador,119.93557142857142,138526707907.0476,0.14823809523809522,113.76980952380953,20.076666666666668,6.017761904761905,283561.0,15015312.047619049,34.022333333333336,0,0,0
Egypt,812.2605714285716,859637423737.9048,10.058238095238096,385.0887142857143,142.15047619047618,417.1133809523809,1001450.0,88388551.23809524,42.727666666666664,0,0,0
Estonia,64.4642380952381,30916474197.333332,40.85042857142857,16.873285714285714,10.598095238095238,6.740428571428572,45228.0,1340558.761904762,2.9077619047619048,0,0,0
Finland,212.7107142857143,199904573147.42856,62.04895238095238,116.76561904761904,73.79809523809524,33.896142857142856,338145.0,5360668.523809524,78.86580952380953,0,0,0
France,1564.7970476190476,2346088049322.6665,130.24761904761903,992.5685238095238,559.2638095238095,441.9809523809524,643801.0,62084683.809523806,248.17638095238095,0,0,0
Germany,3138.1008095238094,3318184573415.619,900.3820476190476,1380.355476190476,612.3761904761905,857.3632380952381,357022.0,81781495.23809524,383.0482857142857,0,0,0
Greece,332.0150476190476,262542249788.9524,83.55257142857143,210.09585714285714,55.5295238095238,38.36671428571429,131957.0,10934305.80952381,27.713619047619048,0,0,0
Hungary,226.39338095238094,202539808475.42856,32.11938095238096,83.14128571428571,34.625238095238096,111.1327619047619,93028.0,9967457.61904762,8.607476190476191,0,0,0
Iceland,11.569,12228853174.857143,1.174952380952381,9.68452380952381,14.50952380952381,0.0,103000.0,318444.28571428574,39.97338095238096,0,0,0
India,5783.116904761905,5692010229174.857,3419.7307142857144,1917.2811428571429,1024.1409523809523,446.1052857142857,3287263.0,1236808484.5714285,462.6733333333333,0,0,3
Indonesia,1607.8380476190478,2108591333766.0952,430.811380952381,771.2957619047619,189.34666666666666,405.7309523809524,1904569.0,243785252.57142857,82.27009523809524,0,0,0
Iraq,590.5846666666666,304719579818.6667,0.0,332.591619047619,51.56333333333333,69.75385714285714,438317.0,32739717.61904762,10.818666666666667,0,0,0
Ireland,165.1954761904762,223014006198.85715,24.476333333333336,93.7297142857143,27.520476190476188,46.989333333333335,84421.0,4420269.095238095,14.867190476190476,0,0,0
Israel,259.36638095238095,216369503865.90475,80.63533333333332,130.87666666666667,57.42095238095238,47.85433333333334,20770.0,7372606.714285715,2.4244285714285714,0,0,0
Italy,1749.9609047619047,2029737582201.9048,151.49285714285713,875.9065238095238,288.9090476190476,722.5614285714286,301340.0,59080266.28571428,233.56890476190478,0,0,0
Japan,4957.767380952381,4525950001542.096,1314.816380952381,2635.648857142857,1095.0342857142857,1007.3019523809523,377944.0,127312772.1904762,358.4942857142857,0,0,3
Kazakhstan,594.1821428571429,328761796510.4762,357.32366666666667,134.32190476190476,82.39619047619047,102.5365238095238,2724900.0,16805415.285714287,24.500190476190475,0,0,0
Latvia,34.52919047619047,39953237820.95238,0.9213809523809524,19.29842857142857,5.478571428571429,14.309476190476191,64589.0,2117607.761904762,9.396619047619048,0,0,0
Lithuania,61.35828571428571,59720152990.47619,2.229904761904762,32.86966666666667,9.156190476190476,26.258761904761904,65300.0,3172107.904761905,3.763285714285714,0,0,0
Luxembourg,44.60338095238095,28097090608.761906,0.7652380952380953,32.931333333333335,2.1357142857142857,10.906809523809525,2586.0,518952.6666666667,1.6232380952380954,0,0,0
Malaysia,915.2779523809523,544263533519.2381,146.87557142857142,375.1932380952381,124.1842857142857,393.2092380952381,329847.0,28447026.19047619,38.23452380952381,0,0,0
Mexico,1920.1521428571427,1655312725723.4285,131.56538095238096,1125.8172857142858,277.9733333333333,662.769380952381,1964375.0,112572251.04761904,121.70666666666668,0,0,0
Morocco,180.27961904761904,224159754532.57144,45.04009523809524,128.12080952380953,24.45285714285714,7.118666666666666,446550.0,32555503.80952381,8.478714285714286,0,0,0
Netherlands,1016.8560476190476,721044467126.8572,94.59657142857142,529.4552857142857,105.62809523809524,392.8041904761905,41543.0,16648530.904761905,36.828714285714284,0,0,0
New Zealand,151.42842857142855,143894872064.0,18.42704761904762,86.57166666666667,42.62047619047619,46.42952380952381,268838.0,4374216.285714285,88.17342857142857,0,0,0
North Macedonia,27.000238095238096,22008063707.42857,14.399333333333335,11.224666666666666,6.270952380952381,1.3762380952380953,25713.0,2089961.4285714286,3.913619047619048,0,0,0
Norway,166.86399999999998,370240300178.2857,9.021571428571429,114.47352380952381,134.29761904761904,43.36904761904762,323802.0,4910431.476190476,368.46957142857144,0,0,0
Pakistan,627.8149523809524,823076504332.1904,64.05514285714285,244.21409523809524,101.59428571428572,319.54590476190475,796095.0,192606909.7142857,81.65061904761905,0,0,0
Peru,159.13333333333335,228047607515.42856,9.300095238095238,104.33342857142857,37.12714285714286,45.499809523809525,1285216.0,29528510.095238097,66.09614285714285,0,0,0
Philippines,327.33361904761904,601964083687.619,102.67942857142857,193.80538095238094,70.6047619047619,30.84880952380952,300000.0,94769617.52380952,56.98161904761905,0,0,0
Poland,1066.270761904762,784888558543.238,609.1094285714286,296.6742857142857,157.3842857142857,160.4868095238095,312685.0,38564299.428571425,41.73842857142857,0,0,0
Portugal,232.8515238095238,259130392576.0,32.08561904761905,155.60704761904762,49.7,45.158857142857144,92212.0,10443581.714285715,60.772523809523804,0,0,0
Romania,331.4675238095238,326987278238.4762,83.86099999999999,114.03995238095237,59.62238095238095,133.56661904761904,238391.0,20508672.38095238,55.79752380952381,0,0,0
Slovakia,143.26838095238094,114331782192.7619,43.39509523809524,43.693238095238094,28.818095238095243,56.180095238095234,49035.0,5403584.095238095,16.404333333333334,0,0,0
Slovenia,54.752761904761904,53307424377.90476,15.557809523809524,29.94738095238095,15.548095238095238,9.247619047619047,20273.0,2047767.6666666667,12.660238095238096,0,0,0
South Africa,1331.8049523809523,578350049182.4762,993.3445714285715,304.4708095238095,247.07142857142858,33.98947619047619,1219090.0,52273870.0952381,13.631095238095238,0,0,0
Spain,1260.1134761904764,1416630841539.0476,165.961,785.6746190476191,275.0504761904762,308.4777619047619,505370.0,45141244.952380955,225.147,0,0,0
Sri Lanka,56.226,190573786453.33334,6.020333333333333,57.944761904761904,11.028571428571428,0.0,65610.0,20482068.476190478,12.692666666666666,0,0,0
Sweden,213.696,389309917086.4762,27.832857142857144,175.92142857142858,153.66095238095238,9.94152380952381,450295.0,9474884.80952381,244.10538095238093,0,0,0
Switzerland,172.18385714285714,438186747026.2857,1.5325238095238096,138.38461904761905,65.73142857142857,32.266714285714286,41277.0,7859674.571428572,106.08166666666668,0,0,0
Thailand,1119.1383809523809,868322140550.0952,168.2052857142857,550.7814285714286,149.68857142857144,400.15152380952384,513120.0,67929882.09523809,47.90447619047619,0,0,0
Trinidad and Tobago,194.93590476190477,38250164516.57143,0.0,22.73257142857143,8.015238095238095,172.20338095238097,5128.0,1417113.6666666667,0.01590909090909091,0,0,0
Turkey,1137.1927142857141,1348102452175.238,358.2749523809524,428.7229047619048,213.87333333333333,350.1945238095238,783562.0,73936408.0,168.37657142857142,0,0,0
Ukraine,1096.199380952381,410714524720.7619,414.93471428571434,151.22633333333334,177.6457142857143,530.0382857142857,603550.0,45999293.333333336,32.538333333333334,0,0,0
United Arab Emirates,957.8858,476884445086.4762,11.2029,385.565619047619,91.85809523809523,541.5504761904762,83600.0,6958681.047619048,0.0,0,0,0
United Kingdom,2108.4660476190475,2253832753737.143,334.41657142857144,895.3535714285714,366.4057142857143,878.6959047619048,243610.0,62834452.38095238,146.05247619047617,0,0,0
United States,22247.439,15621509586553.904,5204.066666666667,10246.991285714286,4023.2719047619044,6796.38080952381,9833517.0,310569234.28571427,1626.9361904761904,1,2,2
Uzbekistan,532.5047142857143,210339607893.33334,13.965428571428571,59.27633333333334,53.66809523809523,459.2629523809524,447400.0,28832608.0,17.56957142857143,0,0,0
